Author;Title;Year;Journal;H_index;RefPerDoc
"Chaudhary, Ayesha Hoor; Bukhari, Faisal; Iqbal, Waheed; Nawaz, Zubair; Malik, Muhammad Kamran";Laparoscopic Training Exercises Using HTC VIVE;2020;INTELLIGENT AUTOMATION AND SOFT COMPUTING;28;31,65
"Kim, Soo-Kyun; Lee, Chang-Hee; Kim, Sun-Jeong; Song, Chang-Geun; Lee, Jung";Implementation of Local Area VR Environment using Mobile HMD and Multiple Kinects;2020;INTELLIGENT AUTOMATION AND SOFT COMPUTING;28;31,65
"Lee, Byong Kwon; Lee, Yang Sun";Distinction Between Real Faces and Photos by Analysis of Face Data;2020;INTELLIGENT AUTOMATION AND SOFT COMPUTING;28;31,65
"Frederiksen, Joakim Grant; Sorensen, Stine Maya Dreier; Konge, Lars; Svendsen, Morten Bo Sondergaard; Nobel-Jorgensen, Morten; Bjerrum, Flemming; Andersen, Steven Arild Wuyts";Cognitive load and performance in immersive virtual reality versus conventional virtual reality simulation training of laparoscopic surgery: a randomized trial;2020;SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES;159;28,87
"Rafique, Muhammad Usman; Cheung, Sen-ching S.";Tracking Attacks on Virtual Reality Systems;2020;IEEE CONSUMER ELECTRONICS MAGAZINE;36;8,65
"Checa, David; Bustillo, Andres";Advantages and limits of virtual reality in learning processes: Briviesca in the fifteenth century;2020;VIRTUAL REALITY;51;59,84
"Ammann, Jeanine; Hartmann, Christina; Peterhans, Vega; Ropelato, Sandro; Siegrist, Michael";The relationship between disgust sensitivity and behaviour: A virtual reality study on food disgust;2020;FOOD QUALITY AND PREFERENCE;129;54,68
"Curry, Christopher; Li, Ruixuan; Peterson, Nicolette; Stoffregen, Thomas A.";Cybersickness in Virtual Reality Head-Mounted Displays: Examining the Influence of Sex Differences and Vehicle Control;2020;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;76;70,94
"Ping, Jiamin; Weng, Dongdong; Liu, Yue; Wang, Yongtian";Depth perception in shuffleboard: Depth cues effect on depth perception in virtual and augmented reality system;2020;JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY;54;24,72
"Fransson, Goran; Holmberg, Jorgen; Westelius, Claes";The challenges of using head mounted virtual reality in K-12 schools from a teacher perspective;2020;EDUCATION AND INFORMATION TECHNOLOGIES;48;57,84
"Appel, Lora; Appel, Eva; Bogler, Orly; Wiseman, Micaela; Cohen, Leedan; Ein, Natalie; Abrams, Howard B.; Campos, Jennifer L.";Older Adults With Cognitive and/or Physical Impairments Can Benefit From Immersive Virtual Reality Experiences: A Feasibility Study;2020;FRONTIERS IN MEDICINE;54;49,59
"Griffin, Tom; Muldoon, Meghan";Exploring virtual reality experiences of slum tourism;2020;TOURISM GEOGRAPHIES;73;69,61
"Na, Woongsoo; Dao, Nhu-Ngoc; Kim, Joongheon; Ryu, Eun-Seok; Cho, Sungrae";Simulation and measurement: Feasibility study of Tactile Internet applications for mmWave virtual reality;2020;ETRI JOURNAL;47;29,14
"Tumialis, Alexey; Smirnov, Alexey; Fadeev, Kirill; Alikovskaia, Tatiana; Khoroshikh, Pavel; Sergievich, Alexander; Golokhvast, Kirill";Motor Program Transformation of Throwing Dart from the Third-Person Perspective;2020;BRAIN SCIENCES;44;66,20
"Gu, Jiaxi; Yu, Zhiwen; Shen, Kele";Alohomora: Motion-Based Hotword Detection in Head-Mounted Displays;2020;IEEE INTERNET OF THINGS JOURNAL;119;31,82
"Zaleski-King, Ashley; Pinto, Robin; Lee, General; Brungart, Douglas";Use of Commercial Virtual Reality Technology to Assess Verticality Perception in Static and Dynamic Visual Backgrounds;2020;EAR AND HEARING;115;58,35
"Hagita, Katsumi; Kodama, Yuuki; Takada, Masashi";Simplified virtual reality training system for radiation shielding and measurement in nuclear engineering;2020;PROGRESS IN NUCLEAR ENERGY;67;37,34
"Alrehaili, Enas Abdulrahman; Al Osman, Hussein";A virtual reality role-playing serious game for experiential learning;2019;INTERACTIVE LEARNING ENVIRONMENTS;49;52,20
"Greene, David; Groenendyk, Michael";An environmental scan of virtual and augmented reality services in academic libraries;2019;LIBRARY HI TECH;41;53,63
"Jost, Tyler A.; Drewelow, Grant; Koziol, Scott; Rylander, Jonathan";A quantitative method for evaluation of 6 degree of freedom virtual reality systems;2019;JOURNAL OF BIOMECHANICS;208;38,16
"Risi, Dante; Palmisano, Stephen";Effects of postural stability, active control, exposure duration and repeated exposures on HMD induced cybersickness;2019;DISPLAYS;59;48,71
"Wang, Qiyue; Cheng, Yongchao; Jiao, Wenhua; Johnson, Michael T.; Zhang, YuMing";Virtual reality human-robot collaborative welding: A case study of weaving gas tungsten arc welding;2019;JOURNAL OF MANUFACTURING PROCESSES;64;42,24
"Lubetzky, Anat V.; Harel, Daphna; Kelly, Jennifer; Hujsak, Bryan D.; Perlin, Ken";Weighting and reweighting of visual input via head mounted display given unilateral peripheral vestibular dysfunction;2019;HUMAN MOVEMENT SCIENCE;94;51,10
"Marchetto, Jonathan; Wright, W. Geoffrey";The Validity of an Oculus Rift to Assess Postural Changes During Balance Tasks;2019;HUMAN FACTORS;124;53,08
"Shu, Yu; Huang, Yen-Zhang; Chang, Shu-Hsuan; Chen, Mu-Yen";Do virtual reality head-mounted displays make a difference? A comparison of presence and self-efficacy between head-mounted displays and desktop computer-facilitated virtual environments;2019;VIRTUAL REALITY;51;59,84
"Klippel, Alexander; Zhao, Jiayan; Jackson, Kathy Lou; La Femina, Peter; Stubbs, Chris; Wetzel, Ryan; Blair, Jordan; Wallgrun, Jan Oliver; Oprean, Danielle";Transforming Earth Science Education Through Immersive Experiences: Delivering on a Long Held Promise;2019;JOURNAL OF EDUCATIONAL COMPUTING RESEARCH;64;62,00
"Cao, Shi; Nandakumar, Krithika; Babu, Raiju; Thompson, Benjamin";Game play in virtual reality driving simulation involving head-mounted display and comparison to desktop display;2019;VIRTUAL REALITY;51;59,84
"Kalarat, Kosin; Koomhin, Phanit";REAL-TIME VOLUME RENDERING INTERACTION IN VIRTUAL REALITY;2019;INTERNATIONAL JOURNAL OF TECHNOLOGY;17;27,05
"Kourtesis, Panagiotis; Collina, Simona; Doumas, Leonidas A. A.; MacPherson, Sarah E.";Validation of the Virtual Reality Neuroscience Questionnaire: Maximum Duration of Immersive Virtual Reality Sessions Without the Presence of Pertinent Adverse Symptomatology;2019;FRONTIERS IN HUMAN NEUROSCIENCE;128;68,73
"De Paolis, Lucio Tommaso; De Luca, Valerio";The impact of the input interface in a virtual environment: the Vive controller and the Myo armband;2019;VIRTUAL REALITY;51;59,84
"Tremmel, Christoph; Herff, Christian; Sato, Tetsuya; Rechowicz, Krzysztof; Yamani, Yusuke; Krusienski, Dean J.";Estimating Cognitive Workload in an Interactive Virtual Reality Environment Using EEG;2019;FRONTIERS IN HUMAN NEUROSCIENCE;128;68,73
"Huang, Weibo; Xiang, Handun; Li, Shaohui";The application of augmented reality and unity 3D in interaction with intangible cultural heritage;2019;EVOLUTIONARY INTELLIGENCE;26;41,44
"Clifton, Jeremy; Palmisano, Stephen";Effects of steering locomotion and teleporting on cybersickness and presence in HMD-based virtual reality;2019;VIRTUAL REALITY;51;59,84
"Ronchi, Enrico; Mayorga, David; Lovreglio, Ruggiero; Wahlqvist, Jonathan; Nilsson, Daniel";Mobile-powered head-mounted displays versus cave automatic virtual environment experiments for evacuation research;2019;COMPUTER ANIMATION AND VIRTUAL WORLDS;50;31,56
"Lee, Eun-Young; Tran, Van Thanh; Kim, Dongho";A Novel Head Mounted Display Based Methodology for Balance Evaluation and Rehabilitation;2019;SUSTAINABILITY;109;64,87
